CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
AISat-1,Germany,Government,LEO,0.0,643.0,660.0,14.0,,,2014-06-30,,Germany,PSLV-CA,0.0,Government,PSLV,2014
AISSat-1,Norway,Government,LEO,0.0,615.0,632.0,6.0,,,2010-07-12,3.0,Canada,PSLV,0.0,Government,PSLV,2010
AISSat-2,Norway,Government,LEO,0.0,625.0,631.0,6.0,,,2014-07-08,3.0,Norway/Canada,Soyuz-2.1b,0.0,Government,Soyuz,2014
AIST-1,Russia,Commercial/Civil,LEO,0.0,599.0,626.0,,,,2013-12-28,,Russia,"Soyuz 2,1v",0.0,Dual,Soyuz,2013
AIST-2,Russia,Commercial/Civil,LEO,0.0,558.0,582.0,53.0,,,2013-04-19,3.0,Russia,Soyuz 2.1a,0.0,Dual,Soyuz,2013
AIST-2D,Russia,Commercial/Civil,LEO,0.0,471.0,486.0,531.0,,,2016-04-27,,Russia,Soyuz 2.1a,0.0,Dual,Soyuz,2016
AISTechSat-2,Spain,Commercial,LEO,0.0,574.0,592.0,3.0,,,2018-12-03,,Denmark,Falcon 9,0.0,Commercial,Falcon,2018
AISTechSat-3,Spain,Commercial,LEO,0.0,490.0,506.0,2.0,,,2019-04-01,,Denmark,PSLV,0.0,Commercial,PSLV,2019
Al Yah-3,United Arab Emirates,Commercial,GEO,-20.0,,,,,,2018-01-25,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2018
Alcomsat,Algeria,Government,GEO,-24.8,,,,,,2017-12-10,15.0,China,Long March 3B,0.0,Government,Long March,2017
ALE-2,Japan,Commercial,LEO,0.0,397.0,414.0,75.0,,,2019-12-06,,Japan,Electron,0.0,Commercial,Electron,2019
