CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
GOES-13,USA,Military,GEO,75.0,,,,,,2006-05-24,7.0,USA,Delta 4,0.0,Military,Delta,2006
GOES-14,USA,Government,GEO,-104.41,,,,,,2009-06-27,10.0,USA,Delta 4,0.0,Government,Delta,2009
GOES-15,USA,Government,GEO,-135.0,,,,,,2010-03-04,10.0,USA,Delta 4,0.0,Government,Delta,2010
GOES-R,USA,Government,GEO,0.0,,,,,,2016-11-19,20.0,USA,Atlas 5,0.0,Government,Atlas,2016
GOES-S,USA,Government,GEO,-137.0,,,,,,2018-03-01,15.0,USA,Atlas 5,0.0,Government,Atlas,2018
Göktürk 1,Turkey,Military,LEO,0.0,683.0,683.0,,,,2016-12-05,7.0,France/Italy,Vega,0.0,Military,Vega,2016
Göktürk 2,Turkey,Military,LEO,0.0,669.0,690.0,409.0,,,2012-12-18,5.0,Turkey,Long March 2D,0.0,Military,Long March,2012
GomX-4A,Denmark,Military,LEO,0.0,483.0,506.0,8.0,,,2018-02-02,,Denmark,Long March 2D,0.0,Military,Long March,2018
GomX-4B,Denmark,Government,LEO,0.0,486.0,508.0,8.0,,,2018-02-02,,Denmark,Long March 2D,0.0,Government,Long March,2018
Gonets M-03,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2012-07-28,7.0,Russia,Rokot,0.0,Dual,Rokot,2012
Gonets M-04,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2012-07-28,7.0,Russia,Rokot,0.0,Dual,Rokot,2012
Gonets M-05,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2010-09-08,7.0,Russia,Rokot,0.0,Dual,Rokot,2010
Gonets M-11,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2015-03-31,7.0,Russia,Rokot,0.0,Dual,Rokot,2015
Gonets M-12,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2015-03-31,7.0,Russia,Rokot,0.0,Dual,Rokot,2015
Gonets M-13,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2015-03-31,7.0,Russia,Rokot,0.0,Dual,Rokot,2015
Gonets M-14,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2013-09-11,7.0,Russia,Rokot,0.0,Dual,Rokot,2013
Gonets M-16,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2013-09-11,7.0,Russia,Rokot,0.0,Dual,Rokot,2013
Gonets M-17,Russia,Government/Commercial,LEO,0.0,,,270.0,,120.0,2013-09-11,7.0,Russia,Rokot,0.0,Dual,Rokot,2013
Gonets M-18,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2014-07-03,7.0,Russia,Rokot,0.0,Dual,Rokot,2014
Gonets M-19,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2014-07-03,7.0,Russia,Rokot,0.0,Dual,Rokot,2014
Gonets M-20,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2014-07-03,7.0,Russia,Rokot,0.0,Dual,Rokot,2014
Gonets-M-24,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2019-12-26,7.0,Russia,Rokot,0.0,Dual,Rokot,2019
Gonets M-25,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2019-12-26,7.0,Russia,Rokot,0.0,Dual,Rokot,2019
Gonets-M-26,Russia,Government/Commercial,LEO,0.0,,,280.0,,120.0,2019-12-26,7.0,Russia,Rokot,0.0,Dual,Rokot,2019
GOSAT-2,Japan,Government,LEO,0.0,585.0,599.0,,,,2018-10-29,5.0,Japan,H2A,0.0,Government,H2A,2018
GovSat-1,Luxembourg,Military/Government,GEO,21.5,,,,,,2018-01-31,15.0,USA,Falcon 9,0.0,Dual,Falcon,2018
GPIM,USA,Government,LEO,0.0,701.0,729.0,180.0,,,2019-06-25,1.0,USA,Falcon Heavy,0.0,Government,Falcon,2019
GPM Core Observatory,USA/Japan,Government,LEO,0.0,392.0,409.0,,,,2014-02-27,,USA,H2A,0.0,Government,H2A,2014
Grace Follow-on-1,USA/Germany,Government,LEO,0.0,485.0,504.0,600.0,,,2018-05-22,5.0,USA/Germany,Falcon 9,0.0,Government,Falcon,2018
Grace Follow-on-2,USA/Germany,Government,LEO,0.0,484.0,504.0,600.0,,,2018-05-22,5.0,USA/Germany,Falcon 9,0.0,Government,Falcon,2018
Ibuki,Japan,Government,LEO,0.0,668.0,670.0,,,,2009-01-23,5.0,Japan,H2A,0.0,Government,H2A,2009
GRIFEX,USA,Government/Civil,LEO,0.0,441.0,659.0,4.0,,,2015-01-31,,USA,Delta 2,0.0,Dual,Delta,2015
GRUS-1,Japan,Commercial,LEO,0.0,570.0,582.0,100.0,,,2018-12-27,5.0,Japan,Soyuz 2.1a,0.0,Commercial,Soyuz,2018
GSAT-10,India,Government,GEO,83.0,,,,,,2012-09-28,15.0,India,Ariane 5,0.0,Government,Ariane,2012
GSAT-11,India,Government,GEO,74.0,,,,,,2018-12-04,15.0,India,Ariane 5,0.0,Government,Ariane,2018
GSAT-12,India,Government,GEO,82.94,,,,559.0,,2011-07-15,8.0,India,PSLV C17,0.0,Government,PSLV,2011
GSAT-14,India,Government,GEO,74.0,,,,,,2014-01-05,12.0,India,GSLV,0.0,Government,GSLV,2014
GSAT-15,India,Government,GEO,93.5,,,,,,2015-01-10,12.0,India,Ariane 5,0.0,Government,Ariane,2015
GSAT-16,India,Government,GEO,55.0,,,,,,2014-12-06,15.0,India,Ariane 5 ECA,0.0,Government,Ariane,2014
GSAT-17,India,Government,GEO,93.5,,,,,,2017-06-28,15.0,India,Ariane 5,0.0,Government,Ariane,2017
GSAT-18,India,Government,GEO,74.0,,,,,,2016-10-05,15.0,India,Ariane 5,0.0,Government,Ariane,2016
GSAT-19E,India,Government,GEO,82.5,,,,,,2017-06-03,10.0,India,GSLV MK.3,0.0,Government,GSLV,2017
GSAT-29,India,Government,GEO,55.0,,,,,,2018-11-14,10.0,India,GSLV MK.3,0.0,Government,GSLV,2018
GSAT-30,India,Government,GEO,83.0,,,,,,2020-01-16,15.0,India,Ariane 5,0.0,Government,Ariane,2020
GSAT-31,India,Government,GEO,48.0,,,,,,2019-02-05,15.0,India,Ariane 5,0.0,Government,Ariane,2019
GSAT-6,India,Government/Commercial,GEO,83.0,,,,980.0,,2015-08-27,12.0,India,GSLV,0.0,Dual,GSLV,2015
GSAT-7,India,Military,GEO,74.0,,,,,,2013-08-29,7.0,India,Ariane 5 ECA,0.0,Military,Ariane,2013
GSAT-7A,India,Military,GEO,62.7,,,,,,2018-12-19,8.0,India,GSLV Mk.2,0.0,Military,GSLV,2018
GSAT-8,India,Government,GEO,55.0,,,,,,2011-05-20,12.0,India,Ariane 5,0.0,Government,Ariane,2011
G-Satellite,Japan,Civil,LEO,0.0,413.0,418.0,3.0,,,2020-04-28,,Japan,J-SSOD Deployer,0.0,Civil,In-Space deployer,2020
USA 253,USA,Military,GEO,149.04,,,,600.0,,2014-07-28,,USA,Delta 4M,0.0,Military,Delta,2014
USA 254,USA,Military,GEO,115.41,,,,600.0,,2014-07-28,,USA,Delta 4M,0.0,Military,Delta,2014
USA 270,USA,Military,GEO,-111.17,,,,600.0,,2016-08-19,,USA,Delta 4M+,0.0,Military,Delta,2016
USA 271,USA,Military,GEO,-126.25,,,,600.0,,2016-08-19,,USA,Delta 4M+,0.0,Military,Delta,2016
Haiyang 1C,China,Government,LEO,0.0,769.0,786.0,442.0,,,2018-09-07,,China,Long March 2C,0.0,Government,Long March,2018
Haiyang 1D,China,Government,LEO,0.0,770.0,785.0,442.0,,,2020-06-10,,China,Long March 2C,0.0,Government,Long March,2020
Haiyang 2A,China,Government,LEO,0.0,965.0,967.0,,,,2011-08-15,3.0,China,Long March 4B,0.0,Government,Long March,2011
Haiyang 2B,China,Government,LEO,0.0,949.0,957.0,,,,2018-10-24,3.0,China,Long March 4B,0.0,Government,Long March,2018
HaloSat,USA,Government,LEO,0.0,399.0,407.0,10.0,,,2018-07-13,,USA,Nanorack Deployer,0.0,Government,In-Space deployer,2018
Hawk-A,USA,Commercial,LEO,0.0,577.0,590.0,15.0,,,2018-12-03,,Denmark/Canada,Falcon 9,0.0,Commercial,Falcon,2018
Hawk-B,USA,Commercial,LEO,0.0,577.0,590.0,15.0,,,2018-12-03,,Denmark/Canada,Falcon 9,0.0,Commercial,Falcon,2018
Hawk-C,USA,Commercial,LEO,0.0,574.0,592.0,15.0,,,2018-12-03,,Denmark/Canada,Falcon 9,0.0,Commercial,Falcon,2018
HEAD-1,China,Commercial,LEO,0.0,796.0,809.0,45.0,,,2017-11-14,3.0,China,Long March 4C,0.0,Commercial,Long March,2017
HEAD-2A,China,Commercial,LEO,0.0,495.0,511.0,45.0,,,2019-12-07,,China,Kuaizhou 1A,0.0,Commercial,Kuaizhou,2019
HEAD-2B,China,Commercial,LEO,0.0,495.0,511.0,45.0,,,2019-12-07,,China,Kuaizhou 1A,0.0,Commercial,Kuaizhou,2019
HEAD-4,China,Commercial,LEO,0.0,487.0,502.0,45.0,,,2020-05-31,,China,Long March 2D,0.0,Commercial,Long March,2020
HEAD-5,China,Commercial,LEO,0.0,485.0,502.0,45.0,,,2020-06-17,,China,Long March 2D,0.0,Commercial,Long March,2020
Helios 2A,France/Italy/Belgium/Spain/Greece,Military,LEO,0.0,681.0,683.0,,,,2004-12-18,5.0,France/UK/Germany/Spain,Ariane 5G,0.0,Military,Ariane,2004
Helios 2B,France/Italy/Belgium/Spain/Greece,Military,LEO,0.0,679.0,682.0,,,,2009-12-18,5.0,France/UK/Germany/Spain,Ariane 5,0.0,Military,Ariane,2009
HellasSat 2,Greece,Commercial,GEO,39.06,,,,,,2003-05-12,15.0,"France, UK, Germany",Atlas 5,0.0,Commercial,Atlas,2003
HellasSat 3,Greece/United Kingdom,Commercial,GEO,39.0,,,,,,2017-06-28,15.0,France/Italy,Ariane 5,0.0,Commercial,Ariane,2017
Hellas-Sat 4,Greece,Government/Commercial,GEO,39.0,,,,,,2019-02-05,15.0,USA,Ariane 5,0.0,Dual,Ariane,2019
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),USA,Government/Civil,LEO,0.0,535.0,551.0,293.0,,414.0,2002-02-05,3.0,USA,Pegasus,0.0,Dual,Pegasus,2002
Hiber-1,Netherlands,Commercial,LEO,0.0,476.0,500.0,4.0,,,2018-11-29,,Netherlands,PSLV,0.0,Commercial,PSLV,2018
Hiber-2,Netherlands,Commercial,LEO,0.0,575.0,591.0,7.0,,,2018-12-03,,Netherlands,Falcon 9,0.0,Commercial,Falcon,2018
Himawari 8,Japan,Government,GEO,140.0,,,,,,2014-10-07,8.0,Japan,H2A,0.0,Government,H2A,2014
Himawari 9,Japan,Government,GEO,140.0,,,,,,2016-11-02,8.0,Japan,H2A,0.0,Government,H2A,2016
Hinode,Multinational,Government,LEO,0.0,670.0,696.0,700.0,530.0,,2006-10-22,3.0,Japan/USA/UK/Germany,JAXA M-V,0.0,Government,JAXA,2006
Hisaki,Japan,Government,Elliptical,0.0,952.0,,348.0,,900.0,2013-09-14,1.0,Japan,Epsilon,0.0,Government,Epsilon,2013
Hispasat 1D,Spain,Government/Commercial/Military,GEO,-29.95,,,,,,2002-09-18,15.0,France,Atlas 2AS,0.0,Dual,Atlas,2002
Hispasat 1E,Spain,Commercial,GEO,-30.0,,,,,,2010-12-29,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2010
Hispasat 30W-6,Spain,Commercial,GEO,-30.0,,,,,,2018-03-06,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2018
Hispasat 36W-1,Spain,Commercial,GEO,-36.9,,,,,,2017-01-28,15.0,Germany,Soyuz,0.0,Commercial,Soyuz,2017
HJ-1A,China,Government,LEO,0.0,628.0,665.0,470.0,,,2008-09-05,3.0,China,Long March 2C,0.0,Government,Long March,2008
HJ-1B,China,Government,LEO,0.0,621.0,673.0,470.0,,,2008-09-05,3.0,China,Long March 2C,0.0,Government,Long March,2008
HJ-1C,China,Government,LEO,0.0,420.0,438.0,890.0,,,2012-11-18,3.0,China,Long March 2C,0.0,Government,Long March,2012
Hodoyoshi-1,Japan,Government,LEO,0.0,506.0,525.0,65.0,,50.0,2014-11-06,,Japan,Dnepr,0.0,Government,Dnepr,2014
Hodoyoshi-3,Japan,Government,LEO,0.0,613.0,666.0,60.0,,50.0,2014-06-19,,Japan,Dnepr,0.0,Government,Dnepr,2014
Hodoyoshi-4,Japan,Government,LEO,0.0,613.0,650.0,60.0,,50.0,2014-06-19,,Japan,Dnepr,0.0,Government,Dnepr,2014
Hongyan-1,China,Government,LEO,0.0,,,,,,2018-12-29,,China,Long March 2D,0.0,Government,Long March,2018
Hongyun-1,China,Commercial,LEO,0.0,,,,,,2018-12-21,,China,Long March 11,0.0,Commercial,Long March,2018
Horizons 2,USA/Japan,Commercial,GEO,85.0,,,,,,2007-12-21,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2007
Horizons 3e,USA/Japan,Commercial,GEO,169.0,,,,,,2018-09-25,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2018
Horyu-2,Japan,Civil,LEO,0.0,650.0,669.0,7.0,,,2012-05-17,1.0,Japan,H2A,0.0,Civil,H2A,2012
HSAT-1,USA,Commercial,LEO,0.0,476.0,500.0,4.0,,,2018-11-29,,USA,PSLV,0.0,Commercial,PSLV,2018
Huangpu-1,China,Commercial,LEO,0.0,485.0,504.0,50.0,,,2019-11-03,,China,Long March 4B,0.0,Commercial,Long March,2019
Hubble Space Telescope,ESA/USA,Government,LEO,0.0,555.0,559.0,,,,1990-04-25,10.0,International,Space Shuttle (STS 31),0.0,Government,Space Shuttle,1990
Huia'an,China,Civil,LEO,0.0,529.0,547.0,3.0,,,2018-01-18,,China,Long March 11,0.0,Civil,Long March,2018
Huskysat-1,USA,Civil,LEO,0.0,459.0,474.0,5.0,,,2020-01-31,,USA,Nanoracks Deployer,0.0,Civil,In-Space deployer,2020
HXMT,China,Government,LEO,0.0,536.0,545.0,,,,2017-06-15,4.0,China,Long March 4B,0.0,Government,Long March,2017
HYLAS 4,United Kingdom,Commercial,GEO,21.27,,,,,,2018-04-05,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2018
HYLAS 1,United Kingdom,Commercial,GEO,-33.5,,,,,,2010-11-26,15.0,France,Ariane 5,0.0,Commercial,Ariane,2010
HYLAS 2,United Kingdom,Commercial,GEO,33.5,,,,,,2012-08-02,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2012
HySIS,India,Government,LEO,0.0,647.0,648.0,380.0,,,2018-11-29,5.0,India,PSLV,0.0,Government,PSLV,2018
Icesat-2,USA,Government,LEO,0.0,455.0,468.0,,,,2018-09-15,3.0,USA,Delta 2,0.0,Government,Delta,2018
ICEYE-X2,Finland,Commercial,LEO,0.0,570.0,587.0,80.0,,,2018-12-03,,Finland,Falcon 9,0.0,Commercial,Falcon,2018
ICEYE-X3,USA,Military,LEO,0.0,498.0,510.0,150.0,,,2019-05-05,,USA,Electron,0.0,Military,Electron,2019
ICEYE-X4,Finland,Commercial,LEO,0.0,564.0,594.0,80.0,,,2019-07-05,,Finland,Soyuz 2.1b,0.0,Commercial,Soyuz,2019
ICEYE-X5,Finland,Commercial,LEO,0.0,564.0,590.0,80.0,,,2019-07-05,,Finland,Soyuz 2.1b,0.0,Commercial,Soyuz,2019
ICON,USA,Government,LEO,0.0,579.0,601.0,288.0,,,2019-10-11,,USA,Pegasus,0.0,Government,Pegasus,2019
IGS Optical 5,Japan,Government,LEO,0.0,511.0,515.0,,,,2015-03-26,5.0,Japan,H2A,0.0,Government,H2A,2015
IGS Optical 6,Japan,Government,LEO,0.0,485.0,499.0,,,,2018-02-26,5.0,Japan,H2A,0.0,Government,H2A,2018
IGS Optical 7,Japan,Government,LEO,0.0,487.0,493.0,,,,2020-02-09,5.0,Japan,H2A,0.0,Government,H2A,2020
IGS Radar 5,Japan,Government,LEO,0.0,485.0,499.0,,,,2017-03-16,5.0,Japan,H2A,0.0,Government,H2A,2017
IGS Radar 6,Japan,Government,LEO,0.0,500.0,500.0,,,,2018-06-12,5.0,Japan,H2A,0.0,Government,H2A,2018
IGS-5A,Japan,Government,LEO,0.0,484.0,492.0,,,,2009-11-28,5.0,Japan,H2A,0.0,Government,H2A,2009
IGS-6A,Japan,Government,LEO,0.0,588.0,591.0,,,,2011-09-23,5.0,Japan,H2A,0.0,Government,H2A,2011
IGS-7A,Japan,Government,LEO,0.0,512.0,514.0,,,,2011-12-12,5.0,Japan,H2A,0.0,Government,H2A,2011
IGS-8A,Japan,Government,LEO,0.0,509.0,514.0,,,,2013-01-27,5.0,Japan,H2A,0.0,Government,H2A,2013
IGS-8B,Japan,Government,LEO,0.0,512.0,523.0,,,,2013-01-27,5.0,Japan,H2A,0.0,Government,H2A,2013
IGS-9A,Japan,Government,LEO,0.0,510.0,510.0,,,,2015-01-31,5.0,Japan,H2A,0.0,Government,H2A,2015
USA 184,USA,Military,Elliptical,0.0,,,,,,2006-06-28,,USA,Delta 4,0.0,Military,Delta,2006
USA 200,USA,Military,Elliptical,0.0,,,,,,2008-03-13,,USA,Atlas 5,0.0,Military,Atlas,2008
USA 259,USA,Military,Elliptical,0.0,,,,,,2014-12-13,,USA,Atlas 5,0.0,Military,Atlas,2014
USA 278,USA,Military,Elliptical,0.0,,,,,,2017-09-24,,USA,Atlas 5,0.0,Military,Atlas,2017
INMARSAT 3 F3,United Kingdom,Commercial,GEO,178.2,,,,860.0,,1996-12-18,13.0,USA,Atlas,0.0,Commercial,Atlas,1996
INMARSAT 3 F5,United Kingdom,Commercial,GEO,25.07,,,,895.0,,1998-02-04,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,1998
INMARSAT 4 F1,United Kingdom,Commercial,GEO,63.96,,,,,,2005-03-11,15.0,France/UK/Germany,Atlas 5,0.0,Commercial,Atlas,2005
INMARSAT 4 F2,United Kingdom,Commercial,GEO,-52.76,,,,,,2005-11-08,15.0,France/UK/Germany,Zenit 3SL,0.0,Commercial,Zenit,2005
INMARSAT 4 F3,United Kingdom,Commercial,GEO,-97.65,,,,,,2008-08-18,15.0,France/UK/Germany,Proton M,0.0,Commercial,Proton,2008
INMARSAT 5 F1,United Kingdom,Commercial,GEO,60.3,,,,,,2013-12-08,15.0,USA,Proton M,0.0,Commercial,Proton,2013
INMARSAT 5 F2,United Kingdom,Commercial,GEO,-55.0,,,,,,2015-02-01,15.0,USA,Proton M,0.0,Commercial,Proton,2015
INMARSAT 5 F3,United Kingdom,Commercial,GEO,180.0,,,,,,2015-08-28,15.0,USA,Proton M,0.0,Commercial,Proton,2015
INMARSAT 5 F4,United Kingdom,Commercial,GEO,83.5,,,,,,2017-05-15,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2017
INMARSAT 5 F5,United Kingdom,Commercial,GEO,11.0,,,,,,2019-11-26,15.0,France,Ariane 5 ECA,0.0,Commercial,Ariane,2019
INMARSAT IV-A F4,United Kingdom/ESA,Government/Commercial,GEO,25.0,,,,,,2013-07-25,15.0,France/UK/Germany/Spain,Ariane 5 ECA,0.0,Dual,Ariane,2013
INNOSat-2,Malaysia,Government,LEO,0.0,476.0,500.0,4.0,,,2018-11-29,,Malaysia,PSLV,0.0,Government,PSLV,2018
INS-1A,India,Government,LEO,0.0,496.0,508.0,8.0,,,2017-02-15,,India,PSLV XL,0.0,Government,PSLV,2017
INS-1B,India,Government,LEO,0.0,496.0,508.0,8.0,,,2017-02-15,,India,PSLV XL,0.0,Government,PSLV,2017
INS-1C,India,Government,LEO,0.0,495.0,508.0,5.0,,,2018-01-11,0.5,India,PSLV,0.0,Government,PSLV,2018
INSAT 3D,India,Government,GEO,82.0,,,,,,2013-07-25,,India,Ariane 5 ECA,0.0,Government,Ariane,2013
INSAT 3DR,India,Government,GEO,74.0,,,,,,2016-09-08,10.0,India,GSLV Mk.2,0.0,Government,GSLV,2016
INSAT 4B,India,Government,GEO,111.2,,,,,,2007-03-11,,India,Ariane 5 ECA,0.0,Government,Ariane,2007
INSAT 4CR,India,Government,GEO,73.97,,,,,,2007-09-02,12.0,India,GSLV F04,0.0,Government,GSLV,2007
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),ESA/USA/Russia,Government,Elliptical,0.0,,,,,,2002-10-17,2.0,Italy/International,Proton,0.0,Government,Proton,2002
Intelsat 10,USA,Commercial,GEO,68.52,,,,,,2001-05-14,15.0,USA,Proton,0.0,Commercial,Proton,2001
Intelsat 10-02,USA,Commercial,GEO,-10.0,,,,,,2004-06-16,13.0,UK/France/Germany/Spain,Proton,0.0,Commercial,Proton,2004
Intelsat 11,USA,Commercial,GEO,-43.06,,,,,,2007-10-05,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2007
Intelsat 12,USA,Commercial,GEO,45.04,,,,,,2000-10-29,18.0,France,Ariane 44LP,0.0,Commercial,Ariane,2000
Intelsat 14,USA,Commercial,GEO,-45.0,,,,,,2009-11-23,16.0,USA,Atlas,0.0,Commercial,Atlas,2009
Intelsat 15,USA,Commercial,GEO,85.0,,,,,,2009-11-30,17.0,USA,Zenit 3SLB,0.0,Commercial,Zenit,2009
Intelsat 16,USA,Commercial,GEO,-58.12,,,,,,2010-02-12,15.0,USA,Proton M,0.0,Commercial,Proton,2010
Intelsat 17,USA,Commercial,GEO,66.0,,,,,,2010-11-26,16.0,USA,Ariane 5,0.0,Commercial,Ariane,2010
Intelsat 18,USA,Commercial,GEO,180.0,,,,,,2011-10-05,15.0,USA,Zenit,0.0,Commercial,Zenit,2011
Intelsat 19,USA,Commercial,GEO,166.0,,,,,,2012-06-01,15.0,USA,Zenit,0.0,Commercial,Zenit,2012
Intelsat 1R,USA,Commercial,GEO,-44.96,,,,,,2000-11-15,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2000
Intelsat 20,USA,Commercial,GEO,68.5,,,,,,2012-08-02,18.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2012
Intelsat 21,USA,Commercial,GEO,-58.0,,,,,,2012-08-19,15.0,USA,Zenit 3SL,0.0,Commercial,Zenit,2012
Intelsat 22,USA,Commercial,GEO,72.0,,,,,,2012-03-25,18.0,USA,Proton,0.0,Commercial,Proton,2012
Intelsat 23,USA,Commercial,GEO,-53.0,,,,,,2012-10-14,18.0,USA,Proton M,0.0,Commercial,Proton,2012
Intelsat 25,USA,Commercial,GEO,-31.5,,,,,,2008-07-07,16.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2008
JCSat R,USA,Commercial,GEO,50.0,,,,,,1997-02-16,12.0,USA,Atlas 2AS,0.0,Commercial,Atlas,1997
Intelsat 30/DLA 1,USA,Commercial,GEO,-95.0,,,,,,2014-10-16,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2014
Intelsat 31/DLA 2,USA,Commercial,GEO,-95.0,,,,,,2016-06-09,20.0,USA,Proton,0.0,Commercial,Proton,2016
Intelsat 33,USA,Commercial,GEO,60.0,,,,,,2016-08-24,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2016
Intelsat 34,USA,Commercial,GEO,-55.5,,,,,,2015-08-20,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2015
Intelsat 35E,USA,Commercial,GEO,-34.5,,,,,,2017-07-05,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2017
Intelsat 36,USA,Commercial,GEO,68.5,,,,,,2016-08-24,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2016
Intelsat 37E,USA,Commercial,GEO,-18.0,,,,,,2017-09-29,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2017
Intelsat 39,USA,Commercial,GEO,62.0,,,,,,2019-08-06,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2019
Intelsat 5,USA,Commercial,GEO,-156.9,,,,,,1997-08-28,15.0,USA,Proton K,0.0,Commercial,Proton,1997
Intelsat 9,USA,Commercial,GEO,-29.5,,,,,,2000-07-28,15.0,USA,Zenit 3SL,0.0,Commercial,Zenit,2000
Intelsat 901,USA,Commercial,GEO,-27.5,,,,,,2001-06-09,13.0,USA,Atlas 2AS,0.0,Commercial,Atlas,2001
Intelsat 902,USA,Commercial,GEO,62.05,,,,,,2001-08-30,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,2001
Intelsat 903,USA,Commercial,GEO,-34.55,,,,,,2002-03-30,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,2002
Intelsat 904,USA,Commercial,GEO,60.05,,,,,,2002-02-23,13.0,USA,Proton K,0.0,Commercial,Proton,2002
Intelsat 905,USA,Commercial,GEO,-24.52,,,,,,2002-06-05,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,2002
Intelsat 906,USA,Commercial,GEO,64.19,,,,,,2002-09-06,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,2002
Intelsat 907,USA,Commercial,GEO,-27.45,,,,,,2003-02-15,13.0,USA,Ariane 44L,0.0,Commercial,Ariane,2003
Intelsat New Dawn,USA,Commercial,GEO,32.8,,,,,,2011-04-22,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2011
International Space Station,Multinational,Government,LEO,0.0,401.0,422.0,,,,1998-11-20,30.0,International,Proton,0.0,Government,Proton,1998
Interstellar Boundary Explorer,USA,Government,Elliptical,0.0,,,462.0,,,2008-10-19,,USA,Pegasus XL,0.0,Government,Pegasus,2008
IOD-1 GEMS,USA,Commercial,LEO,0.0,409.0,414.0,4.0,,,2019-07-03,,UK,Nanorack Deployer,0.0,Commercial,In-Space deployer,2019
Iridium 45,USA,Government/Commercial,LEO,0.0,776.0,779.0,689.0,556.0,50.0,1997-12-20,8.0,USA,Delta 2 7920,0.0,Dual,Delta,1997
Iridium 61,USA,Government/Commercial,LEO,0.0,776.0,779.0,689.0,556.0,50.0,1998-03-25,8.0,USA,Long March 2C,0.0,Dual,Long March,1998
Iridium 96,USA,Government/Commercial,LEO,0.0,745.0,754.0,689.0,556.0,50.0,2002-02-11,8.0,USA,Delta 2,0.0,Dual,Delta,2002
Iridium Next 102,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 103,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 104,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 105,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 106,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 107,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-10-09,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 108,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
Iridium Next 109,USA,Government/Commercial,LEO,0.0,776.0,779.0,860.0,678.0,50.0,2017-01-14,15.0,France/Italy/USA,Falcon 9,0.0,Dual,Falcon,2017
